Species,phylo,habitat,hab_name,mass_norm,mass_scaled,mass,group,latitude,lat_sd,Elevation,el_sd,Aridity_index_annual_mean,ar_sd,Precip_annual_seasonality_ratio,pas_sd,Precip_wettest_month,pwm_sd,Temperature_annual_mean,temp_sd,Temperature_annual_range,tar_sd,Precip_annual_mean,pam_sd,Species_with_numbers,l_el,el_lsd,l_ar,ar_lsd,l_pam,pam_lsd,l_pas,pas_lsd,l_pwm,pwm_lsd,l_temp,temp_lsd,l_tar,tar_lsd,l_npp,npp_lsd,npp,npp_sd
Pseudomys_gracilicaudatus,Pseudomys_gracilicaudatus,3,Mesic,0.065101139,0.518518519,70,7,-26.25500012,5.658191485,205.7302956,268.7538107,0.597656537,0.278167693,6.832335277,5.39121426,198.549286,75.2293686,22.28917271,4.222204991,24.07958831,4.237204443,80.66437865,32.5318776,Pseudomys_gracilicaudatus_ABTC08031,4.573693,2.012831,-0.4502086,0.454924,4.475876,0.3257613,0.9091009,0.6757678,5.155777,0.3553485,2.966584,0.1659847,3.08146,0.1790652,2.325328,0.4287529,11.14815,4.410702
Pseudomys_hermannsburgensis,Pseudomys_hermannsburgensis,1,Arid,0.013950244,0.111111111,15,3,-25.25682812,2.944994781,323.2544288,214.4197174,0.080968143,0.025747496,2.440747953,1.626343254,43.06602965,23.11756067,22.54609632,2.051115571,34.56887856,2.811101969,72.34211686,28.34459121,Pseudomys_hermannsburgensis_ABTC91375,5.37687,1.109209,-2.564993,0.3278221,2.91205,0.3034468,0.7365459,0.5421275,3.636332,0.4937767,3.110986,0.09590795,3.53883,0.0931599,0.2501617,0.3804127,1.395687,0.6687483
Pseudomys_higginsi,Pseudomys_higginsi,3,Mesic,0.060451058,0.481481481,65,4,-41.81935767,0.598270117,585.4802632,312.6218283,3.398143882,1.207835279,0.654182423,0.20748076,200.1782849,55.82094374,8.798801743,2.04718989,17.01899332,1.604791616,79.93751026,27.72757504,Pseudomys_higginsi_ABTC08139,6.088087,1.035554,1.151797,0.3885001,4.898254,0.3360772,-0.4479657,0.2508515,5.256504,0.3491633,2.140668,0.2568741,2.820885,0.169619,2.418174,0.3200197,11.69758,2.770813
Pseudomys_johnsoni,Pseudomys_johnsoni,1,Arid,0.011160195,0.088888889,12,9,-18.24804967,2.198630314,318.2535211,105.9731189,0.215181804,0.155512013,9.81150726,4.028769921,143.6420186,72.60386763,25.89248826,1.003580401,34.09925867,3.103133827,108.3840351,4.43436801,Pseudomys_johnsoni_ABTC08055,5.69397,0.522373,-1.744974,0.6229997,3.780459,0.4609412,2.188265,0.454429,4.868404,0.5389927,3.22342,0.3128415,3.506972,0.2084309,0.4174227,0.4766678,1.712042,0.9036834
Pseudomys_nanus,Pseudomys_nanus,2,Monsoon,0.051150895,0.407407407,55,7,-15.85170642,2.279033018,169.1292009,136.2117324,0.38505464,0.202378701,13.10130937,4.423331531,218.421914,75.77930911,26.96304241,1.021717864,29.4011496,5.263531012,65.26624431,2.546995799,Pseudomys_nanus_ABTC08056,4.607199,1.270821,-1.123129,0.6251482,4.196415,0.4464811,2.487552,0.4888947,5.315767,0.4243606,3.289457,0.1338059,3.361815,0.1970824,1.039893,0.5881286,3.370906,2.387781
Pseudomys_novaehollandiae,Pseudomys_novaehollandiae,3,Mesic,0.019065334,0.151851852,20.5,3,-34.39887718,2.987855194,97.49562842,197.699252,0.855841543,0.178069322,1.120148281,0.325462107,120.2224087,41.18656771,16.56334095,1.809561797,20.87412943,1.935674516,24.85368698,2.830692213,Pseudomys_novaehollandiae_ABTC08140,3.236489,1.702116,-0.1804504,0.2318224,4.417528,0.3207291,0.08045017,0.2475431,4.721172,0.3943484,2.798915,0.1289273,3.032187,0.1132324,2.465776,0.3901914,12.63755,4.496458
Pseudomys_occidentalis,Pseudomys_occidentalis,1,Arid,0.03255057,0.259259259,35,,-33.05104167,0.661894377,286.5154639,83.46727409,0.335897863,0.066223495,0.475317533,0.373733925,53.60192749,6.472005643,16.62989691,1.182184327,25.47085606,2.84547239,90.28469069,7.665376391,Pseudomys_occidentalis_ABTC08042,5.623565,0.5076368,-1.162139,0.4902951,3.400255,0.2520809,-0.8150091,0.4672121,3.95098,0.2465172,2.725256,0.5579787,3.19718,0.2695773,1.494549,0.3022755,4.65625,1.367503
Pseudomys_oralis,Pseudomys_oralis,3,Mesic,0.088351546,0.703703704,95,6,-30.03725878,0.899928502,777.6067194,238.6501596,0.907356441,0.149845176,1.981607493,0.186322574,172.4865531,22.79386637,14.39940711,1.386859436,23.29995676,1.01878333,139.3882041,36.42873972,Pseudomys_oralis_KR033,6.593931,0.4371385,-0.115362,0.2090213,4.581414,0.1385474,0.6726832,0.1800089,5.140789,0.156489,2.65849,0.1343986,3.141099,0.1462922,2.671887,0.2290217,14.78689,2.619632
Pseudomys_patrius,Pseudomys_patrius,3,Mesic,0.013950244,0.111111111,15,9,-22.1761724,2.606666221,558.775641,285.3819207,0.462391789,0.204367528,3.86558044,1.53992847,168.9248406,84.53870143,21.01474359,1.38886619,25.26363991,3.506258586,96.46797055,21.35312096,Pseudomys_patrius_ABTC32211,6.158346,0.8524231,-0.8642061,0.4257636,4.206367,0.3434271,1.271038,0.3868744,5.062712,0.5061315,3.011009,0.2919397,3.201788,0.2200963,2.003447,0.3816094,8.006452,3.423556
Pseudomys_shortridgei,Pseudomys_shortridgei,3,Mesic,0.065101139,0.518518519,70,6,-37.54781959,0.806727462,186.1990172,182.1190034,0.999549197,0.201257528,0.547792206,0.194378353,96.44905353,13.71505305,13.51489596,0.846297296,20.3717314,2.495755803,86.45986148,28.41947976,Pseudomys_shortridgei_ABTC08079,4.649411,1.205121,-0.02862589,0.2714406,4.113247,0.1686194,-0.6184228,0.2231852,4.556729,0.1774259,2.594026,0.1570066,3.002028,0.1492602,2.291562,0.4365025,10.77261,4.042734
Zyzomys_argurus,Zyzomys_argurus,2,Monsoon,0.03255057,0.259259259,35,10,-15.54375167,2.758739568,153.922301,164.8729285,0.441491876,0.200994772,11.01608329,4.857727978,237.067457,73.37580235,26.77212178,1.255716334,26.27461777,6.372077527,139.9122365,41.66209102,Zyzomys_argurus_ABTC07908,4.461145,1.22302,-0.9565463,0.5882348,4.304048,0.4363683,2.234458,0.667806,5.397408,0.4366994,3.284745,0.08391844,3.234328,0.2764428,1.37322,0.6248388,4.751176,3.033863
Zyzomys_maini,Zyzomys_maini,2,Monsoon,0.093001628,0.740740741,100,10,-12.88448952,0.364353498,90.9252669,66.64350984,0.65928368,0.032291029,14.50376445,1.587689774,299.301936,13.86129782,27.80106762,0.418392449,22.8144862,1.70186116,86.82169681,24.93595017,Zyzomys_maini_ABTC08030,4.247814,0.8337213,-0.4512301,0.4234106,4.667417,0.2180065,2.652157,0.2077459,5.687762,0.1895226,3.292439,0.388677,3.107837,0.2104856,1.370095,0.3516553,4.145329,1.157548
Zyzomys_palatalis,Zyzomys_palatalis,2,Monsoon,0.116252034,0.925925926,125,10,-17.27650134,0.134422577,225.1034483,66.43915797,0.304772773,0.016025176,12.26598209,0.398917117,205.2500266,9.82193084,25.54137931,0.272304649,29.38075514,0.798634038,98.47161144,11.79694875,Zyzomys_palatalis_ABTC30744,5.368959,0.7568888,-1.483707,1.301797,4.015602,0.6743805,2.281297,0.9217115,5.2142,0.536198,2.934979,1.250282,3.160124,0.888437,1.168053,0.1252839,3.241379,0.4354942
Zyzomys_woodwardi,Zyzomys_woodwardi,2,Monsoon,0.125552197,1,135,10,-14.81126144,0.505418248,64.89473684,62.56999006,0.505119224,0.048654259,11.10294574,1.849903129,299.8982231,25.15918501,27.39789783,0.33011659,23.16106142,2.024736463,61.86896046,8.061568446,Zyzomys_woodwardi_ABTC07092,3.603038,1.283197,-0.703404,0.2588798,4.492961,0.1252442,2.381451,0.1950571,5.699817,0.127291,3.296876,0.2573942,3.134876,0.1415983,1.347334,0.3426364,4.073864,1.379623
